part_id,part_name,motor_type,price
12191K44V00,"GASKET, CYLINDER",BEAT SPORTY CW,9700.0
147A1KVY900,VALVE SET,BEAT SPORTY CW,65000.0
12209GB4682,SEAL VLV. STEM,BEAT SPORTY CW,12000.0
131A5KZL305,PISTON KIT (1.00),BEAT SPORTY CW,114000.0
31926KRM841,SPARK PLUG CPR9EA9 (NGK),BEAT SPORTY CBS ISS,23000.0
30700KPH881,CAP ASSY NOISE SUPPRESSOR,BEAT SPORTY CBS ISS,50500.0
08232M99K0LN5,"MPX2 10W30 SLMB 0,8L CAS",STYLO 160 CBS,59000.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,VARIO 150,16500.0
082322MBK0LN1,"OLI MPX2 10W30 SL 0,8L IDE",VARIO 125 CBS ISS,0.0
91255KVB902,OIL SEAL 29X44X7,BEAT SPORTY CW,7600.0
08234M99K8LZ0,SCOOTER GEAR OIL-SYN120MLREP,BEAT SPORTY CW,19500.0
91009KVB903,"BRG,BALL RADIAL 60/22 UU",BEAT SPORTY CW,47600.0
21395KVB901,GASKET MISSION CASE,BEAT SPORTY CW,19500.0
43130KZL930,BRAKE SHOE,BEAT SPORTY CW,55500.0
91204K50T01,OIL SEAL 29X44X7(NOK),ALL NEW SCOOPY SPORTY,4500.0
22535K81N00,WEIGHT SET CLUTCH,ALL NEW SCOOPY SPORTY,154000.0
AHB6301RS,BEARING BALL (SET),ALL NEW SCOOPY SPORTY,58500.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,ALL NEW SCOOPY SPORTY,16500.0
23411K81N00,SHAFT DRIVE,ALL NEW SCOOPY SPORTY,126000.0
HB6302RS,"BEARING,BALL",ALL NEW SCOOPY SPORTY,33800.0
91009KVB903,"BRG,BALL RADIAL 60/22 UU",ALL NEW SCOOPY SPORTY,47600.0
HB6204,"BEARING,BALL",ALL NEW SCOOPY SPORTY,27200.0
21395KVB901,GASKET MISSION CASE,ALL NEW SCOOPY SPORTY,19500.0
23421K81N00,SHAFT COUNTER,ALL NEW SCOOPY SPORTY,96000.0
HB6201,"BEARING,BALL",ALL NEW SCOOPY SPORTY,20000.0
91202KJ9003,OIL SEAL 20X32X6,ALL NEW SCOOPY SPORTY,8500.0
23422KZL930,"GEAR, COUNTER(51T)",ALL NEW SCOOPY SPORTY,76000.0
43130KZL930,BRAKE SHOE,BeAT Street,55500.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",BEAT STREET,0.0
08294M99Z8YN1,SCOOTER GEAR OIL (120ML) IDE,VARIO 125 CBS ISS SP,16500.0
082322MBK3LN9,"MPX2 10W30 SLMB 0,65L CAS",SCOOPY ENERGETIC,0.0
31928MFFD01, SPARK PLUG U24EPR9 (DS),VARIO 125 CBS,20000.0
03512HDL000,HONDA DISC LOCK,BeAT Sporty CBS,107500.0
08232M99K0LN5,"MPX2 10W30 SLMB 0,8L CAS",ALL NEW SCOOPY STYLISH,59000.0
08CLAH50500,HONDA M/C GENUINE COOLANT,ALL NEW SCOOPY STYLISH,19500.0
08234M99K8LZ0,SCOOTER GEAR OIL-SYN120MLREP,NEW VARIO TECHNO PGM FI,19500.0
08232M99K0LN5,"MPX2 10W30 SLMB 0,8L CAS",NEW VARIO TECHNO PGM FI,59000.0
AHTS0301050,HRC23 SPRTY NAVY TSHIRT XL,NEW SCOOPY PRESTIGE,151000.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",NEW SCOOPY PRESTIGE,50000.0
AHGK0010014,HONDA LEATHER KEYCHAIN,NEW SCOOPY PRESTIGE,57000.0
082322MAK0LN1,"OLI MPX1 10W30 SL 0,8L IDE",BLADE,57000.0
22110KVY900,FACE COMP MOVEABLE DRIVE,NEW BEAT CAST WHEEL,71500.0
91202KVB901,OIL SEAL 20.8X52X7.5,NEW BEAT CAST WHEEL,8700.0
22102KVY900,FACE DRIVE,NEW BEAT CAST WHEEL,136500.0
082322MBK3LN1,"MPX2 10W30 SLMB 0,65L IDE E",NEW SCOOPY SPORTY,50000.0
23100KZLBA0,BELT DRIVE KIT,BEAT SPORTY CBS ISS,156000.0
082322MBK0LN1,"OLI MPX2 10W30 SL 0,8L IDE",VARIO TECHNO 125 FI CBS,59000.0
082322MBK0LN1,"OLI MPX2 10W30 SL 0,8L IDE",VARIO 125 CBS MMC,59000.0
22535KWN901,WEIGHT SET CLUTCH,VARIO 125 CBS,159500.0
22011KWN900,"PIECE SET,SLIDE",VARIO 125 CBS,25000.0
17210KZR600,"ELEMENT COMP, AIR CLEANER",VARIO 125 CBS,56500.0
23100K35BA0,"BELT DRIVE, KIT",VARIO 125 CBS,175000.0
43130KZL930,BRAKE SHOE,VARIO 125 CBS,55500.0
31926KYT901,SPARK PLUG U27EPR-9 (DS),VARIO 125 CBS,23000.0
